Name,total_yield,chip_color,tuber_eye_depth,tuber_shape,tuber_size,tuber_length,tuber_width,sucrose,log10_glucose,log10_fructose,malic_acid,vine_maturity_95d,vine_maturity_120d,Grp1,Grp2,Grp3,Grp4
Northstar,10.8,1.87,3.3,3.55,5.25,91.12,71.99,5.64,-0.194,0.381,3.31,3.75,2.5,0.01,0,0.99,0
NorValley,11.81,1.17,3.97,2.41,4.38,79.82,72.19,4.73,-0.395,-0.16,2.96,3.25,1.75,0,0,1,0
Norwis(FL657),13.64,1.89,5.17,2.54,6.41,89.26,73.58,5.8,-0.468,0.017,1.49,4,3.25,0,0,1,0
NY115,10.22,1.3,3.44,2.41,5.75,83.75,72.59,6.24,-0.776,-0.462,2.29,4.5,1.75,0,0,1,0
NY121,11.91,2.3,3.97,1.68,4,65.47,73.1,7.45,-0.214,0.219,3.59,3.25,1,0,0,1,0
NY136,14.93,2.85,3.7,3.46,6.75,97.73,75.73,7.29,-0.436,-0.005,2.32,4,4,1,0,0,0
NY140,15.56,1.54,3.97,3.46,7.38,94.26,78.84,5.96,-0.179,0.011,2.22,5,4.5,0,0,1,0
NY142,8.14,3.74,3.97,2.13,2.63,69.94,64.04,12.78,0.609,0.886,4.36,2.5,1,1,0,0,0
NYE48-2,13.41,0.93,3.97,3.46,6.25,87.74,72.35,3.94,-0.827,-0.607,2.18,4,1,0,0,1,0
Ontario,12.57,2.98,3.97,3,5.25,83.59,72.12,7.59,0.464,0.588,5.64,5.5,5,0,0,1,0
OR00002-7,14.93,2.94,3.5,4.96,7.54,NA,NA,NA,NA,NA,NA,6.42,2.96,0,1,0,0
OR00068-11,14.61,2.76,4.1,2.95,3.13,74.55,63.01,10.03,-0.069,0.227,1.45,5.5,1.75,1,0,0,0
PA99N82-4,8.38,2.42,3.84,3.99,4.61,86.93,61.14,6.81,-0.045,-0.071,2.52,4,3.25,0,1,0,0
Patagonia,10.13,3.48,3.7,4.13,5.63,101.5,63.39,7.81,0.129,0.391,6.29,6,5,1,0,0,0
PeterWilcox,11.88,1.82,3.57,3.32,3.75,84.06,66.66,5.99,-0.193,0.259,2.49,2.5,1,0.55,0,0.45,0
Pike,12.34,1.46,3.97,2.41,6,73.71,73.68,3.91,-1.009,-0.701,1.71,4.5,4,0,0,1,0
POR01PG1-6,10.46,3.31,2.86,4.76,4.42,97.73,64.19,6.55,-0.018,0.348,2.57,4.42,1.46,1,0,0,0
POR02PG37-2,11.55,2.37,3.97,2.41,3.88,72.04,64.92,8.27,-0.024,0.537,4.13,2.5,1,1,0,0,0
PremierRusset,10.52,1.57,3.3,4.59,5,117.14,65.24,8.46,-0.798,-0.743,1.92,5.5,5,0,1,0,0
PrinceHairy(NY235-4),17.24,2.75,5.43,2.08,5.38,79.4,80.13,7.03,0.104,0.212,2.57,6,4,0,0,0,1
PurpleMajesty,14.24,1.61,3.3,3.59,3.13,77.69,58.51,6.65,-0.549,-0.207,2.67,3.25,1,0.998,0,0.002,0
PurplePeruvian,5.6,2.07,5.57,5,1.77,90.83,32.62,9.25,0.002,0.285,3.01,7.5,5.5,0,0,0,1
RangerRusset,8.2,2.9,3.57,5,4.75,119.84,58.13,8.76,-0.255,0.17,3.63,4.38,3.5,0,1,0,0
Reba,14,1.46,5.03,3.46,6.88,95.04,76.87,5.04,-0.588,-0.274,1.85,3.25,3.25,0,0,1,0
RedMaria(NY129),14.5,3,3.97,2.27,6.63,81.52,77.81,7.4,-0.019,0.229,3.29,4.5,1.75,1,0,0,0
ReevesKingpin,10.43,3.04,3.03,5,5.38,126.43,60.28,6.88,0.487,0.794,4.24,4.5,4,0.494,0,0.506,0
